"","year","Residence_Permanent_Residence","Student_Permanent_Residence","Visitor_Permanent_Residence","Work_Permanent_Residence","New_Zealand_and_Australian_citizens","TOTAL"
"1","2005",18457,8058,28609,11221,36478,103982
"2","2006",19367,9534,30498,13882,36177,110687
"3","2007",16758,12563,32118,15900,34982,113450
"4","2008",15965,16214,33620,17451,35237,119994
"5","2009",14818,16114,23731,14731,37349,108265
"6","2010",13535,17015,19840,13406,35613,100499
"7","2011",13784,16774,19689,15603,33261,100206
"8","2012",13852,16145,18092,17705,34685,101762
"9","2013",13508,16444,18102,20317,40520,110282
"10","2014",14511,25323,21269,22026,43572,128180
"11","2015",14982,30062,23545,24926,45165,140125
"12","2016",17161,25866,26814,26111,45996,143124
"13","2017",15601,25210,25516,29183,43513,140102
"14","2018",13268,24664,26843,31866,41344,139016
"15","2019",14499,26744,32992,39742,48461,165742
"16","2020",7490,10565,16199,12968,37887,88768
